district,x,y
Akyurt, 160, 117
Altındağ, 123, 78
Ayaş, -29, 86
Balâ, 170, -54
Beypazarı, -102, 123
Çamlıdere, -11, 215
Çankaya, 97, 48
Çubuk, 136, 174
Elmadağ, 170, 49
Etimesgut, 40, 40
Evren, 293, -178
Gölbaşı, 77, -20
Güdül, -36, 158
Haymana, 19, -106
Kahramankazan, 52, 142
Kalecik, 228, 149
Keçiören, 93, 98
Kızılcahamam, 58, 214
Mamak, 131, 57
Nallıhan, -234, 141
Polatlı, -52, -33
Pursaklar, 101, 123
Sincan, 9, 40
Şereflikoçhisar, 231, -193
Yenimahalle, 54, 86

